field_name,data_type,required,entity_scope,allowed_values_or_example,description
project_id,string,yes,all rows,rooted_10y,Stable project key used by the generator to group all rows into one site build.
project_title,string,yes,all rows,Rooted — Tenure Facility Decade Explainer,Human-readable project title.
scene_id,enum/string,yes,all rows,"S1, S2, S3...",Unique scene identifier; all layers within a scene share this.
scene_order,integer,yes,all rows,1..N,Scene playback order in the scrollytelling sequence.
scene_title,string,yes,all rows,Underground Prelude,Display name / editor label for the scene.
scene_theme,string,yes,all rows,Roots / mycelium / origin before visibility,Art-direction note for the scene.
scene_scroll_start_vh,number,yes,all rows,"0, 220, 400...",Global scroll offset in viewport heights where the scene begins.
scene_scroll_length_vh,number,yes,all rows,"180, 220, 280",Pinned scroll duration for the scene in viewport heights.
scene_pin,boolean,yes,all rows,TRUE/FALSE,Whether the scene is pinned during playback.
scene_bg_color,color hex,optional,all rows,#120E0A,Fallback color shown before heavy assets load.
camera_group_id,string,yes,all rows,CAM_S1,Logical camera namespace; lets multiple layers share one virtual camera setup.
camera_move,enum,yes,all rows,"push_in, crane_up, zoom_to_center, lateral_pan, pull_back",Primary 2.5D camera behavior for the scene.
camera_notes,string,optional,all rows,Slow 2.5D push through soil layers...,Freeform implementation note for the animation system.
layer_id,string,yes,layer row,S1_L01,Unique row key for the generator.
parent_layer_id,string,optional,layer row,S3_L01,Optional parenting target for transform inheritance.
layer_order,integer,yes,layer row,1..N,Render order within the scene; lower numbers draw first.
layer_kind,enum,yes,layer row,"image, sequence, text, panel, button",Runtime renderer selection.
layer_name,string,yes,layer row,Mycelial network growth sequence,Human-readable editor label.
asset_mode,enum,yes,layer row,"static, sequence, text, html","Defines whether the row points to a file, sequence, or semantic text/html layer."
asset_path,string,conditional,image/sequence rows,/assets/s1/soil_gradient.avif,Primary source path or folder root.
asset_format,string,conditional,image/sequence/text rows,"avif, webp, png, svg, html, webp_sequence",Expected file/renderer format.
asset_role,enum/string,optional,layer row,"background, hero, data-overlay",Design-system role used for defaults and debugging.
text_content,string,conditional,text/html/button rows,A tree does not begin with its rings.,Inline copy or button label.
font_family,string,conditional,text/html/button rows,"Fraunces, Inter",Font token for semantic text layers.
font_weight,integer/string,conditional,text/html/button rows,"400, 600",Font weight token.
font_size_desktop_px,number,conditional,text/html/button rows,"24, 56",Desktop type size.
font_size_mobile_px,number,conditional,text/html/button rows,"18, 34",Mobile type size.
text_align,enum,conditional,text/html/button rows,"left, center, right",Text alignment.
width_vw,number,yes,all rows,14..130,Layer box width in viewport-width units.
height_vh,number,yes,all rows,7..130,Layer box height in viewport-height units.
