project_id,project_title,scene_id,scene_order,scene_title,scene_theme,scene_scroll_start_vh,scene_scroll_length_vh,scene_pin,scene_bg_color,camera_group_id,camera_move,camera_notes,layer_id,parent_layer_id,layer_order,layer_kind,layer_name,asset_mode,asset_path,asset_format,asset_role,text_content,font_family,font_weight,font_size_desktop_px,font_size_mobile_px,text_align,width_vw,height_vh,base_x_pct,base_y_pct,depth_index,parallax_x,parallax_y,blend_mode,mask_shape,sequence_src_pattern,sequence_frame_count,sequence_fps,sequence_scrub_mode,ai_start_prompt,ai_end_prompt,trigger_start,trigger_end,ease,kf0_p,kf0_x_pct,kf0_y_pct,kf0_scale,kf0_opacity,kf0_rotate_deg,kf0_blur_px,kf0_frame,kf1_p,kf1_x_pct,kf1_y_pct,kf1_scale,kf1_opacity,kf1_rotate_deg,kf1_blur_px,kf1_frame,kf2_p,kf2_x_pct,kf2_y_pct,kf2_scale,kf2_opacity,kf2_rotate_deg,kf2_blur_px,kf2_frame,kf3_p,kf3_x_pct,kf3_y_pct,kf3_scale,kf3_opacity,kf3_rotate_deg,kf3_blur_px,kf3_frame,reduced_motion_mode,reduced_motion_asset,mobile_behavior,preload_priority,notes
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L01,,1,image,Soil gradient background,static,/assets/s1/soil_gradient.avif,avif,background,,,,,,,130,130,50,50,-5,0.0,0.05,normal,none,,,,,,,0.0,1.0,none,0,50,52,1.08,1.0,0,0,0,0.35,50,50,1.12,1.0,0,0,0,0.7,50,48,1.18,1.0,0,0,0,1.0,50,46,1.25,0.95,0,0,0,static,/assets/s1/soil_gradient.avif,keep,high,Base full-bleed background; no independent entrance animation.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L02,,2,image,Deep root silhouettes,static,/assets/s1/deep_roots.webp,webp,midground,,,,,,,120,110,52,58,-2,0.01,0.18,multiply,none,,,,,,,0.02,1.0,none,0,52,62,1.02,0.35,0,2,0,0.35,51,58,1.05,0.75,0,1,0,0.7,50,55,1.1,0.95,0,0,0,1.0,49,52,1.16,0.8,0,0,0,fade-only,/assets/s1/deep_roots.webp,keep,high,Large silhouette mass that establishes depth under the soil.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L03,,3,sequence,Mycelial network growth sequence,sequence,/assets/s1/seq/mycelium_growth,webp_sequence,hero-sequence,,,,,,,110,100,50,54,0,0.015,0.22,screen,none,/assets/s1/seq/mycelium_growth/upscaled/frame_%04d.webp,12.0,18.0,frame-by-scroll,"Dark underground cross section with sparse faint fungal threads, earthy painterly texture, cinematic low light, no text, centered composition.","Dense glowing mycelial thread network spreading laterally through rich soil, earthy painterly texture, subtle bioluminescent highlights, no text, centered composition.",0.08,0.92,none,0,50,58,0.98,0.0,0,3,4,0.35,50,54,1.0,0.85,0,1,23,0.7,49,51,1.05,1.0,0,0,23,1.0,49,48,1.12,0.95,0,0,23,first-frame,/assets/s1/seq/mycelium_growth/upscaled/frame_0001.webp,simplify,high,Primary AI-generated image sequence; scrub frame index directly from local scene progress.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L04,,4,image,Dust / particulate overlay,static,/assets/s1/particles.png,png,atmosphere,,,,,,,120,120,50,50,3,0.02,0.28,screen,none,,,,,,,0.0,1.0,none,0,52,54,1.0,0.0,0,1,0,0.35,51,52,1.02,0.25,0,1,0,0.7,50,50,1.06,0.42,0,0,0,1.0,49,48,1.1,0.15,0,0,0,hide,,hide,low,Very light atmosphere only; disable on low-end/mobile.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L05,,5,image,Soft fog depth veil,static,/assets/s1/fog_layer.webp,webp,foreground,,,,,,,130,90,50,70,4,0.0,0.35,screen,gradient-bottom,,,,,,,0.1,1.0,none,0,50,75,1.1,0.0,0,8,0,0.35,50,72,1.08,0.15,0,4,0,0.7,50,68,1.05,0.25,0,2,0,1.0,50,64,1.0,0.0,0,0,0,hide,,hide,low,Use as foreground veil to increase 2.5D feel during camera push.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L06,,6,text,Opening kicker,text,,html,title,A tree does not begin with its rings.,Fraunces,600.0,56.0,34.0,left,42,18,12,18,6,0.0,0.0,normal,none,,,,,,,0.05,0.42,power2.out,0,12,24,1.0,0.0,0,8,0,0.35,12,20,1.0,1.0,0,0,0,0.7,12,18,1.0,0.65,0,0,0,1.0,12,16,0.98,0.0,0,4,0,fade-only,,keep,medium,Primary title beat for scene 1.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L07,,7,text,Opening body beat 1,text,,html,body,"It begins underground — with roots pushing through soil, with fungal threads reaching outward in every direction, with a network of connection forming long before the first ring is ever laid down.",Inter,400.0,24.0,18.0,left,36,26,12,42,6,0.0,0.0,normal,none,,,,,,,0.18,0.66,power2.out,0,12,46,1.0,0.0,0,8,0,0.35,12,42,1.0,0.95,0,0,0,0.7,12,40,1.0,0.9,0,0,0,1.0,12,38,1.0,0.0,0,4,0,fade-only,,keep,medium,Two-line paragraph beat synced with mycelial sequence growth.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S1,1,Underground Prelude,Roots / mycelium / origin before visibility,0,220,True,#120E0A,CAM_S1,push_in,Slow 2.5D push through soil layers toward root network; text appears as discoveries.,S1_L08,,8,text,Opening body beat 2,text,,html,body,"By the time you count a tree's rings, you are reading a record of something that was already ancient.",Inter,500.0,26.0,18.0,left,36,16,12,70,6,0.0,0.0,normal,none,,,,,,,0.55,0.95,power2.out,0,12,74,1.0,0.0,0,8,0,0.35,12,70,1.0,0.0,0,4,0,0.7,12,68,1.0,0.95,0,0,0,1.0,12,66,1.0,0.0,0,3,0,fade-only,,keep,medium,Exit beat that prepares transition to visible trunk.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L01,,1,image,Soil-to-light background,static,/assets/s2/soil_to_light_gradient.avif,avif,background,,,,,,,130,130,50,50,-5,0.0,0.06,normal,none,,,,,,,0.0,1.0,none,0,50,54,1.08,0.85,0,0,0,0.35,50,50,1.12,1.0,0,0,0,0.7,50,47,1.16,1.0,0,0,0,1.0,50,44,1.22,1.0,0,0,0,static,/assets/s2/soil_to_light_gradient.avif,keep,high,Dark lower half with warm light entering upper area.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L02,,2,image,Residual underground roots,static,/assets/s2/root_holdover.webp,webp,continuity-layer,,,,,,,115,70,50,88,-1,0.0,0.14,multiply,gradient-top,,,,,,,0.0,0.55,none,0,50,92,1.0,0.8,0,0,0,0.35,50,88,1.03,0.65,0,0,0,0.7,50,84,1.06,0.25,0,1,0,1.0,50,80,1.1,0.0,0,2,0,static,/assets/s2/root_holdover.webp,keep,medium,Ensures scene 1 and 2 feel connected rather than cut apart.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L03,,3,sequence,Trunk emergence sequence,sequence,/assets/s2/seq/trunk_emergence,webp_sequence,hero-sequence,,,,,,,42,92,68,58,1,0.008,0.2,normal,none,/assets/s2/seq/trunk_emergence/upscaled/frame_%04d.webp,24.0,18.0,frame-by-scroll,"Early upward trunk emergence from root zone, soft low-contrast bark silhouette with diffuse dawn light, painterly documentary style, no text.","Fully established trunk and lower canopy transition with brighter morning light shafts, richer bark texture, painterly documentary style, no text.",0.08,0.95,none,0,69,61,0.92,0.0,0,4,0,0.35,68,59,0.98,0.78,0,2,8,0.7,67,57,1.06,1.0,0,0,17,1.0,66,55,1.12,0.96,0,0,23,first-frame,/assets/s2/seq/trunk_emergence/upscaled/frame_0001.webp,simplify,high,Hero transition sequence for Scene 2: root holdover to visible trunk establishment.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L04,,4,image,Light beam overlay,static,/assets/s2/light_beam.webp,webp,atmosphere,,,,,,,75,100,72,22,2,-0.01,0.1,screen,none,,,,,,,0.08,0.8,none,0,74,16,0.96,0.0,-4,8,0,0.35,73,18,1.0,0.35,-2,4,0,0.7,72,20,1.04,0.5,0,1,0,1.0,71,22,1.08,0.1,2,0,0,fade-only,/assets/s2/light_beam.webp,simplify,low,Small atmospheric cue that the site is emerging above ground.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L05,,5,image,Archival paper texture,static,/assets/s2/paper_texture.avif,avif,texture,,,,,,,130,130,50,50,3,0.0,0.04,soft-light,none,,,,,,,0.0,1.0,none,0,50,50,1.0,0.0,0,0,0,0.35,50,50,1.0,0.08,0,0,0,0.7,50,50,1.0,0.12,0,0,0,1.0,50,50,1.0,0.12,0,0,0,static,/assets/s2/paper_texture.avif,hide,low,Optional tactile grain only.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L06,,6,text,Scene 2 title,text,,html,title,The land rights movement is ancient. The decade did not create it — it recognized it.,Fraunces,600.0,50.0,32.0,left,42,24,10,20,6,0.0,0.0,normal,none,,,,,,,0.08,0.65,power2.out,0,10,24,1.0,0.0,0,6,0,0.35,10,20,1.0,1.0,0,0,0,0.7,10,18,1.0,0.9,0,0,0,1.0,10,16,0.98,0.0,0,4,0,fade-only,,keep,medium,Core interpretive statement for this scene.
rooted_10y,Rooted — Tenure Facility Decade Explainer,S2,2,"Recognition, Not Creation",Emergence of trunk / continuity / pre-existing stewardship,220,180,True,#1A140E,CAM_S2,crane_up,Camera rises from underground toward trunk base; previous underground imagery softens but remains partly visible.,S2_L07,,7,text,Scene 2 body,text,,html,body,"Rooted frames the Tenure Facility as legal recognition, resourcing, and amplification of something that was already there — and as the network that helps it grow and spread.",Inter,400.0,24.0,18.0,left,36,22,10,50,6,0.0,0.0,normal,none,,,,,,,0.28,0.95,power2.out,0,10,54,1.0,0.0,0,6,0,0.35,10,50,1.0,0.55,0,2,0,0.7,10,48,1.0,1.0,0,0,0,1.0,10,46,1.0,0.0,0,3,0,fade-only,,keep,medium,Body copy aligned left of trunk.
